code,prefecture,latitude,longitude
0,hokkaido,43.06415035,141.34676496
1,aomori,40.82443999,140.74000496
2,iwate,39.70356954,141.15265155
3,miyagi,38.2688808,140.87198085
4,akita,39.718624,140.102386
5,yamagata,38.24055033,140.36335772
6,fukushima,37.7499969,140.46780213
7,ibaraki,36.34173699,140.44682363
8,tochigi,36.56583223,139.88362022
9,gunma,36.3911937,139.06088314
10,saitama,35.85703302,139.6490115
11,chiba,35.60456013,140.12315397
12,tokyo,35.68944448,139.69167015
13,kanagawa,35.44777815,139.64250186
14,niigata,37.90246514,139.023238
15,toyama,36.69527686,137.2113934
16,ishikawa,36.59460555,136.62566904
17,fukui,36.065233,136.22177495
18,yamanashi,35.663891,138.568329
19,nagano,36.65130564,138.1809036
20,gifu,35.39111096,136.72222233
21,shizuoka,34.97694444,138.3830556
22,aichi,35.18027778,136.9066667
23,mie,34.73027778,136.5086111
24,shiga,35.00444444,135.8683333
25,kyoto,35.02124244,135.7556129
26,osaka,34.68638889,135.52
27,hyogo,34.69125701,135.1830778
28,nara,34.68527778,135.8327778
29,wakayama,34.22611111,135.1675
30,tottori,35.50344908,134.2382614
31,shimane,35.47229297,133.05052
32,okayama,34.66173908,133.9350321
33,hiroshima,34.39652811,132.4596834
34,yamaguchi,34.18583333,131.4713889
35,tokushima,34.06570976,134.5594189
36,kagawa,34.340088,134.0432238
37,ehime,33.84164208,132.7656816
38,kochi,33.55972222,133.5311111
39,fukuoka,33.60628267,130.41789803
40,saga,33.24936696,130.2991337
41,nagasaki,32.75003952,129.8672514
42,kumamoto,32.78972222,130.7416667
43,oita,33.23805556,131.6125
44,miyazaki,31.91111111,131.4238889
45,kagoshima,31.56027778,130.5580556
46,okinawa,26.21244491,127.6809218